name,positions,body_type,short_passing,dribbling,long_passing,ball_control,agility,reactions,balance,stamina,interceptions,positioning,vision,composure,marking,standing_tackle
D. Gosling,CM,Normal,0.7794117647058822,0.6794871794871795,0.7123287671232876,0.6857142857142857,0.5492957746478874,0.5964912280701753,0.6712328767123288,0.6521739130434783,0.7564102564102564,0.8205128205128205,0.7439024390243902,0.7096774193548387,0.7023809523809523,0.7037037037037037
I. Sangaré,"CDM,CM",Lean,0.7058823529411764,0.7051282051282051,0.726027397260274,0.7,0.6056338028169014,0.631578947368421,0.6575342465753424,0.7246376811594202,0.7564102564102564,0.7820512820512819,0.7195121951219512,0.7258064516129032,0.738095238095238,0.728395061728395
Edvaldisco,"CDM,CM,CAM",Lean,0.6911764705882353,0.7051282051282051,0.7397260273972603,0.6857142857142857,0.5352112676056338,0.7894736842105263,0.5616438356164384,0.826086956521739,0.6794871794871794,0.7051282051282051,0.7804878048780488,0.7741935483870968,0.7619047619047619,0.8024691358024691
J. van der Heijden,CB,Normal,0.75,0.6794871794871795,0.7808219178082192,0.7142857142857142,0.5211267605633803,0.6666666666666667,0.5753424657534245,0.6376811594202898,0.7820512820512819,0.6923076923076923,0.7317073170731707,0.7580645161290323,0.7738095238095237,0.7777777777777777
B. Zungu,"CDM,CM",Normal,0.7352941176470589,0.7692307692307692,0.726027397260274,0.7428571428571427,0.6338028169014085,0.6491228070175439,0.6164383561643836,0.7826086956521738,0.7307692307692307,0.7179487179487178,0.7317073170731707,0.6774193548387097,0.6785714285714285,0.7407407407407407
C. Coady,CB,Normal,0.7647058823529411,0.5769230769230769,0.8082191780821917,0.6285714285714286,0.352112676056338,0.7192982456140351,0.4246575342465753,0.6666666666666667,0.7948717948717948,0.5641025641025641,0.7195121951219512,0.7096774193548387,0.8214285714285714,0.7654320987654321
M. Bešić,"CDM,CM",Normal,0.75,0.7051282051282051,0.684931506849315,0.7285714285714284,0.704225352112676,0.631578947368421,0.7123287671232876,0.5942028985507246,0.6923076923076923,0.6153846153846154,0.6829268292682927,0.6935483870967742,0.7499999999999999,0.7777777777777777
Elias Fontoira,CDM,Lean,0.7058823529411764,0.7435897435897436,0.7397260273972603,0.7142857142857142,0.6056338028169014,0.7017543859649122,0.6575342465753424,0.6666666666666667,0.7820512820512819,0.7051282051282051,0.7926829268292683,0.7903225806451613,0.8333333333333333,0.6790123456790123
Sergio Álvarez,"CDM,CM",Lean,0.7205882352941175,0.6282051282051282,0.7534246575342465,0.6714285714285713,0.6901408450704225,0.6666666666666667,0.5342465753424657,0.8985507246376812,0.7820512820512819,0.7564102564102564,0.7439024390243902,0.7903225806451613,0.6785714285714285,0.7654320987654321
L. González Pirez,CB,Normal,0.6911764705882353,0.6153846153846154,0.7945205479452053,0.6428571428571428,0.5774647887323944,0.6842105263157894,0.4520547945205479,0.7971014492753623,0.7948717948717948,0.6282051282051282,0.6341463414634146,0.6774193548387097,0.7619047619047619,0.7654320987654321
Y. Sankharé,CM,Normal,0.7647058823529411,0.7435897435897436,0.726027397260274,0.7,0.6338028169014085,0.6666666666666667,0.4657534246575341,0.7391304347826086,0.7307692307692307,0.7692307692307692,0.7317073170731707,0.7096774193548387,0.7023809523809523,0.7777777777777777
A. Romao,CDM,Normal,0.6764705882352942,0.6153846153846154,0.6575342465753424,0.657142857142857,0.619718309859155,0.7192982456140351,0.6712328767123288,0.6956521739130435,0.8205128205128205,0.5641025641025641,0.7073170731707317,0.7096774193548387,0.6904761904761905,0.8148148148148148
L. Rigoni,"CM,CDM",Lean,0.7794117647058822,0.6923076923076923,0.7671232876712328,0.7142857142857142,0.5492957746478874,0.6842105263157894,0.5068493150684932,0.6666666666666667,0.7564102564102564,0.7564102564102564,0.7439024390243902,0.6935483870967742,0.7023809523809523,0.7654320987654321
J. Kurtić,"CM,CAM,CF",Normal,0.7647058823529411,0.7051282051282051,0.7534246575342465,0.7142857142857142,0.5915492957746479,0.6666666666666667,0.5616438356164384,0.681159420289855,0.7820512820512819,0.8076923076923077,0.7317073170731707,0.6774193548387097,0.6547619047619047,0.7777777777777777
D. Torres,"CDM,CM",Normal,0.6911764705882353,0.6794871794871795,0.726027397260274,0.6428571428571428,0.6338028169014085,0.7192982456140351,0.5616438356164384,0.7101449275362319,0.8076923076923076,0.6538461538461537,0.7195121951219512,0.7096774193548387,0.7261904761904762,0.7654320987654321
F. Frei,"CDM,CB,CM",Normal,0.75,0.6794871794871795,0.7397260273972603,0.7142857142857142,0.6901408450704225,0.7017543859649122,0.6438356164383561,0.7826086956521738,0.7564102564102564,0.8333333333333333,0.8048780487804879,0.6935483870967742,0.7619047619047619,0.7160493827160493
Danilo,"CM,CDM",Normal,0.75,0.7179487179487178,0.6986301369863013,0.7142857142857142,0.6338028169014085,0.7192982456140351,0.6164383561643836,0.7391304347826086,0.8076923076923076,0.7948717948717949,0.7439024390243902,0.7580645161290323,0.7261904761904762,0.7777777777777777
Fransérgio,"CM,CDM",Normal,0.7205882352941175,0.7307692307692308,0.7808219178082192,0.7142857142857142,0.4788732394366197,0.6491228070175439,0.4246575342465753,0.6666666666666667,0.7051282051282051,0.846153846153846,0.7317073170731707,0.6774193548387097,0.6904761904761905,0.728395061728395
M. Bradley,"CDM,CM",Normal,0.8088235294117647,0.7307692307692308,0.8082191780821917,0.7428571428571427,0.5915492957746479,0.6842105263157894,0.6986301369863013,0.826086956521739,0.7179487179487178,0.6666666666666667,0.7439024390243902,0.6935483870967742,0.6785714285714285,0.728395061728395
M. Höger,"CDM,CM",Normal,0.7205882352941175,0.7051282051282051,0.6986301369863013,0.7,0.5492957746478874,0.7017543859649122,0.547945205479452,0.8405797101449275,0.846153846153846,0.7564102564102564,0.7195121951219512,0.7419354838709677,0.738095238095238,0.7777777777777777
W. Vainqueur,CDM,Normal,0.7205882352941175,0.7051282051282051,0.6986301369863013,0.6857142857142857,0.5774647887323944,0.7017543859649122,0.6712328767123288,0.9130434782608696,0.846153846153846,0.5769230769230769,0.6341463414634146,0.6935483870967742,0.7142857142857142,0.7654320987654321
C. Gentner,"CM,CDM,CAM,RM",Normal,0.75,0.6794871794871795,0.726027397260274,0.7,0.3802816901408451,0.6666666666666667,0.3698630136986301,0.8115942028985508,0.8076923076923076,0.8076923076923077,0.7682926829268293,0.7096774193548387,0.7142857142857142,0.7654320987654321
